"","date","flag"
"1","2015-12-02",1
"2","2015-12-03",1
"3","2015-12-04",0
"4","2015-12-05",0
"5","2015-12-06",0
"6","2015-12-07",0
"7","2015-12-08",0
"8","2015-12-09",0
"9","2015-12-10",0
"10","2015-12-11",0
"11","2015-12-12",0
"12","2015-12-13",0
"13","2015-12-14",0
"14","2015-12-15",0
"15","2015-12-16",0
"16","2015-12-17",0
"17","2015-12-18",0
"18","2015-12-19",0
"19","2015-12-20",0
"20","2015-12-21",0
"21","2015-12-22",0
"22","2015-12-23",0
"23","2015-12-24",0
"24","2015-12-25",0
"25","2015-12-26",1
"26","2015-12-27",1
"27","2015-12-28",1
"28","2015-12-29",1
"29","2015-12-30",1
"30","2015-12-31",1
"31","2016-01-01",1
"32","2016-01-02",1
"33","2016-01-03",0
"34","2016-01-04",0
"35","2016-01-05",0
"36","2016-01-06",0
"37","2016-01-07",0
"38","2016-01-08",0
"39","2016-01-09",1
"40","2016-01-10",0
"41","2016-01-11",0
"42","2016-01-12",1
"43","2016-01-13",0
"44","2016-01-14",1
"45","2016-01-15",1
"46","2016-01-16",1
"47","2016-01-17",0
"48","2016-01-18",1
"49","2016-01-19",1
"50","2016-01-20",0
"51","2016-01-21",1
"52","2016-01-22",0
"53","2016-01-23",1
"54","2016-01-24",0
"55","2016-01-25",1
"56","2016-01-26",0
"57","2016-01-27",1
"58","2016-01-28",1
"59","2016-01-29",1
"60","2016-01-30",1
"61","2016-01-31",0
"62","2016-02-01",0
"63","2016-02-02",1
"64","2016-02-03",1
"65","2016-02-04",1
"66","2016-02-05",0
"67","2016-02-06",0
"68","2016-02-07",0
"69","2016-02-08",0
"70","2016-02-09",0
"71","2016-02-10",1
"72","2016-02-11",0
"73","2016-02-12",0
"74","2016-02-13",0
"75","2016-02-14",1
"76","2016-02-15",1
"77","2016-02-16",1
"78","2016-02-17",0
"79","2016-02-18",1
"80","2016-02-19",0
"81","2016-02-20",0
"82","2016-02-21",0
"83","2016-02-22",0
"84","2016-02-23",1
"85","2016-02-24",1
"86","2016-02-25",1
"87","2016-02-26",1
"88","2016-02-27",0
"89","2016-02-28",0
"90","2016-02-29",0
"91","2016-03-01",0
"92","2016-03-02",0
"93","2016-03-03",0
"94","2016-03-04",0
"95","2016-03-05",0
"96","2016-03-06",0
"97","2016-03-07",0
"98","2016-03-08",0
"99","2016-03-09",0
"100","2016-03-10",0
"101","2016-03-11",0
"102","2016-03-12",0
"103","2016-03-13",0
"104","2016-03-14",0
